Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
206fTBTw1_S00_L001_R1_001	(20, 423.0)	(22, 628.0)	(24, 1445.0)	(26, 9760.0)	(28, 10607.0)	(30, 13047.0)	(32, 50466.0)	(34, 105215.0)	(36, 153345.0)	(38, 195372.0)	(40, 206010.0)	(42, 194870.0)	(44, 186008.0)	(46, 161341.0)	(48, 174957.0)	(50, 173839.0)	(52, 145285.0)	(54, 133228.0)	(56, 110051.0)	(58, 110296.0)	(60, 109980.0)	(62, 101453.0)	(64, 93862.0)	(66, 80533.0)	(68, 79779.0)	(70, 134740.0)	(72, 546584.0)	(74, 1420602.0)
206fTBTw1_S00_L002_R1_001	(20, 387.0)	(22, 615.0)	(24, 1451.0)	(26, 9395.0)	(28, 10192.0)	(30, 12253.0)	(32, 47721.0)	(34, 100405.0)	(36, 146359.0)	(38, 187532.0)	(40, 199061.0)	(42, 187442.0)	(44, 180103.0)	(46, 155972.0)	(48, 169715.0)	(50, 168338.0)	(52, 140725.0)	(54, 128353.0)	(56, 106674.0)	(58, 107597.0)	(60, 107458.0)	(62, 98301.0)	(64, 91415.0)	(66, 78449.0)	(68, 77668.0)	(70, 131587.0)	(72, 537691.0)	(74, 1394533.0)
206fTBTw1_S00_L003_R1_001	(20, 398.0)	(22, 595.0)	(24, 1477.0)	(26, 9032.0)	(28, 10198.0)	(30, 12480.0)	(32, 47137.0)	(34, 98470.0)	(36, 145417.0)	(38, 187391.0)	(40, 200086.0)	(42, 188612.0)	(44, 180692.0)	(46, 158188.0)	(48, 172451.0)	(50, 171190.0)	(52, 142764.0)	(54, 131296.0)	(56, 108315.0)	(58, 109642.0)	(60, 110667.0)	(62, 101003.0)	(64, 93499.0)	(66, 80292.0)	(68, 79642.0)	(70, 133522.0)	(72, 541128.0)	(74, 1389902.0)
206fTBTw1_S00_L004_R1_001	(20, 355.0)	(22, 535.0)	(24, 1273.0)	(26, 8082.0)	(28, 8949.0)	(30, 11211.0)	(32, 42844.0)	(34, 89435.0)	(36, 132897.0)	(38, 172974.0)	(40, 185939.0)	(42, 176627.0)	(44, 170479.0)	(46, 149611.0)	(48, 165616.0)	(50, 165609.0)	(52, 138966.0)	(54, 126770.0)	(56, 105211.0)	(58, 106795.0)	(60, 107655.0)	(62, 100210.0)	(64, 92245.0)	(66, 78417.0)	(68, 78979.0)	(70, 133162.0)	(72, 542167.0)	(74, 1394654.0)
213mDMSOw1_S00_L001_R1_001	(20, 1665.0)	(22, 3211.0)	(24, 7040.0)	(26, 54583.0)	(28, 76976.0)	(30, 63450.0)	(32, 201624.0)	(34, 433888.0)	(36, 624007.0)	(38, 733297.0)	(40, 660384.0)	(42, 628680.0)	(44, 634887.0)	(46, 561583.0)	(48, 560607.0)	(50, 498942.0)	(52, 442155.0)	(54, 423182.0)	(56, 358528.0)	(58, 349543.0)	(60, 328879.0)	(62, 310031.0)	(64, 296014.0)	(66, 270307.0)	(68, 267860.0)	(70, 447027.0)	(72, 1898753.0)	(74, 4895125.0)
213mDMSOw1_S00_L002_R1_001	(20, 1613.0)	(22, 2909.0)	(24, 6581.0)	(26, 51902.0)	(28, 73872.0)	(30, 61055.0)	(32, 194058.0)	(34, 419454.0)	(36, 600508.0)	(38, 708524.0)	(40, 644172.0)	(42, 613053.0)	(44, 617989.0)	(46, 548892.0)	(48, 548394.0)	(50, 489924.0)	(52, 433546.0)	(54, 415788.0)	(56, 353041.0)	(58, 344676.0)	(60, 324624.0)	(62, 305195.0)	(64, 290837.0)	(66, 268452.0)	(68, 266136.0)	(70, 446484.0)	(72, 1911293.0)	(74, 4944833.0)
213mDMSOw1_S00_L003_R1_001	(20, 1724.0)	(22, 3106.0)	(24, 7274.0)	(26, 53565.0)	(28, 75762.0)	(30, 63783.0)	(32, 200371.0)	(34, 430588.0)	(36, 617449.0)	(38, 726152.0)	(40, 658693.0)	(42, 625133.0)	(44, 630953.0)	(46, 559405.0)	(48, 556243.0)	(50, 498006.0)	(52, 441830.0)	(54, 422052.0)	(56, 358005.0)	(58, 349341.0)	(60, 328983.0)	(62, 310617.0)	(64, 294285.0)	(66, 272137.0)	(68, 267970.0)	(70, 449199.0)	(72, 1889610.0)	(74, 4816181.0)
213mDMSOw1_S00_L004_R1_001	(20, 1540.0)	(22, 3033.0)	(24, 6777.0)	(26, 50178.0)	(28, 71051.0)	(30, 59595.0)	(32, 188058.0)	(34, 402305.0)	(36, 579003.0)	(38, 687883.0)	(40, 628679.0)	(42, 598975.0)	(44, 604218.0)	(46, 538642.0)	(48, 540916.0)	(50, 484400.0)	(52, 429187.0)	(54, 410792.0)	(56, 349759.0)	(58, 343680.0)	(60, 322960.0)	(62, 306148.0)	(64, 290011.0)	(66, 266734.0)	(68, 264925.0)	(70, 448611.0)	(72, 1894115.0)	(74, 4836783.0)
214mDMSOw1_S00_L001_R1_001	(20, 1195.0)	(22, 2273.0)	(24, 4328.0)	(26, 23553.0)	(28, 32049.0)	(30, 35117.0)	(32, 140302.0)	(34, 276561.0)	(36, 368125.0)	(38, 422638.0)	(40, 444092.0)	(42, 514636.0)	(44, 562673.0)	(46, 504852.0)	(48, 486205.0)	(50, 451162.0)	(52, 465851.0)	(54, 480273.0)	(56, 405603.0)	(58, 401955.0)	(60, 369040.0)	(62, 365792.0)	(64, 353356.0)	(66, 326623.0)	(68, 311318.0)	(70, 512489.0)	(72, 2128763.0)	(74, 5454688.0)
214mDMSOw1_S00_L002_R1_001	(20, 1131.0)	(22, 2195.0)	(24, 4234.0)	(26, 22985.0)	(28, 31673.0)	(30, 34533.0)	(32, 136864.0)	(34, 269788.0)	(36, 360475.0)	(38, 414481.0)	(40, 436908.0)	(42, 505189.0)	(44, 553996.0)	(46, 498544.0)	(48, 480444.0)	(50, 447050.0)	(52, 462361.0)	(54, 476369.0)	(56, 403266.0)	(58, 398507.0)	(60, 366573.0)	(62, 361919.0)	(64, 352310.0)	(66, 324550.0)	(68, 311731.0)	(70, 514970.0)	(72, 2160292.0)	(74, 5552085.0)
