Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
297fTBTw1_S00_L003_R1_001	(20, 925.0)	(22, 1792.0)	(24, 4582.0)	(26, 36929.0)	(28, 41632.0)	(30, 40141.0)	(32, 144439.0)	(34, 302712.0)	(36, 406639.0)	(38, 448788.0)	(40, 410201.0)	(42, 378366.0)	(44, 347554.0)	(46, 287076.0)	(48, 272364.0)	(50, 233308.0)	(52, 203592.0)	(54, 190640.0)	(56, 155098.0)	(58, 144535.0)	(60, 128645.0)	(62, 120323.0)	(64, 113712.0)	(66, 101831.0)	(68, 95444.0)	(70, 140247.0)	(72, 497984.0)	(74, 1208259.0)
297fTBTw1_S00_L004_R1_001	(20, 833.0)	(22, 1533.0)	(24, 4112.0)	(26, 33612.0)	(28, 37697.0)	(30, 37482.0)	(32, 132580.0)	(34, 274720.0)	(36, 373325.0)	(38, 414783.0)	(40, 382637.0)	(42, 354813.0)	(44, 328627.0)	(46, 273330.0)	(48, 260718.0)	(50, 224469.0)	(52, 196977.0)	(54, 184008.0)	(56, 150384.0)	(58, 140824.0)	(60, 126413.0)	(62, 118598.0)	(64, 111648.0)	(66, 99606.0)	(68, 93921.0)	(70, 139403.0)	(72, 499696.0)	(74, 1212613.0)
298mTBTw1_S00_L001_R1_001	(20, 1592.0)	(22, 2718.0)	(24, 5909.0)	(26, 39507.0)	(28, 55892.0)	(30, 62289.0)	(32, 277213.0)	(34, 591942.0)	(36, 854865.0)	(38, 898205.0)	(40, 844044.0)	(42, 931179.0)	(44, 984650.0)	(46, 878607.0)	(48, 812108.0)	(50, 675280.0)	(52, 654383.0)	(54, 655721.0)	(56, 534309.0)	(58, 504567.0)	(60, 429044.0)	(62, 393231.0)	(64, 372110.0)	(66, 330811.0)	(68, 296398.0)	(70, 389848.0)	(72, 1253875.0)	(74, 2918076.0)
298mTBTw1_S00_L002_R1_001	(20, 1527.0)	(22, 2517.0)	(24, 5793.0)	(26, 38116.0)	(28, 54010.0)	(30, 60301.0)	(32, 267734.0)	(34, 573229.0)	(36, 831583.0)	(38, 875152.0)	(40, 825238.0)	(42, 910760.0)	(44, 968891.0)	(46, 861173.0)	(48, 798458.0)	(50, 666132.0)	(52, 644106.0)	(54, 646456.0)	(56, 528087.0)	(58, 498636.0)	(60, 426102.0)	(62, 390277.0)	(64, 368588.0)	(66, 330022.0)	(68, 294357.0)	(70, 389456.0)	(72, 1265822.0)	(74, 2956784.0)
298mTBTw1_S00_L003_R1_001	(20, 1674.0)	(22, 2781.0)	(24, 5946.0)	(26, 38492.0)	(28, 55185.0)	(30, 62289.0)	(32, 272947.0)	(34, 581708.0)	(36, 841726.0)	(38, 888463.0)	(40, 838911.0)	(42, 926240.0)	(44, 979654.0)	(46, 872938.0)	(48, 809223.0)	(50, 672349.0)	(52, 653397.0)	(54, 654904.0)	(56, 532514.0)	(58, 503593.0)	(60, 430079.0)	(62, 394475.0)	(64, 372671.0)	(66, 331343.0)	(68, 296259.0)	(70, 394025.0)	(72, 1264480.0)	(74, 2916134.0)
298mTBTw1_S00_L004_R1_001	(20, 1486.0)	(22, 2618.0)	(24, 5577.0)	(26, 36292.0)	(28, 51217.0)	(30, 57358.0)	(32, 254730.0)	(34, 543003.0)	(36, 788195.0)	(38, 835660.0)	(40, 794787.0)	(42, 882092.0)	(44, 936612.0)	(46, 839162.0)	(48, 780383.0)	(50, 652934.0)	(52, 636215.0)	(54, 638288.0)	(56, 522746.0)	(58, 494050.0)	(60, 423391.0)	(62, 388276.0)	(64, 369158.0)	(66, 328955.0)	(68, 295879.0)	(70, 393866.0)	(72, 1274501.0)	(74, 2948184.0)
299mDMSOw5_S00_L001_R1_001	(20, 2374.0)	(22, 3894.0)	(24, 8818.0)	(26, 74033.0)	(28, 104020.0)	(30, 91281.0)	(32, 342603.0)	(34, 742936.0)	(36, 1065769.0)	(38, 1164161.0)	(40, 1040078.0)	(42, 1041763.0)	(44, 1057098.0)	(46, 954400.0)	(48, 903855.0)	(50, 753252.0)	(52, 671413.0)	(54, 644079.0)	(56, 544891.0)	(58, 512994.0)	(60, 445216.0)	(62, 404381.0)	(64, 379462.0)	(66, 346999.0)	(68, 323802.0)	(70, 446605.0)	(72, 1542203.0)	(74, 3674918.0)
299mDMSOw5_S00_L002_R1_001	(20, 2209.0)	(22, 3636.0)	(24, 8392.0)	(26, 69794.0)	(28, 98335.0)	(30, 87404.0)	(32, 328439.0)	(34, 710963.0)	(36, 1023109.0)	(38, 1125911.0)	(40, 1006482.0)	(42, 1011744.0)	(44, 1031429.0)	(46, 929618.0)	(48, 885000.0)	(50, 738675.0)	(52, 659033.0)	(54, 633933.0)	(56, 536196.0)	(58, 505367.0)	(60, 439920.0)	(62, 398347.0)	(64, 375285.0)	(66, 343059.0)	(68, 320973.0)	(70, 445755.0)	(72, 1550955.0)	(74, 3702623.0)
299mDMSOw5_S00_L003_R1_001	(20, 2275.0)	(22, 4068.0)	(24, 9207.0)	(26, 72614.0)	(28, 102066.0)	(30, 91468.0)	(32, 340254.0)	(34, 735076.0)	(36, 1058134.0)	(38, 1157996.0)	(40, 1036963.0)	(42, 1040723.0)	(44, 1059770.0)	(46, 953178.0)	(48, 905408.0)	(50, 755081.0)	(52, 672671.0)	(54, 645617.0)	(56, 544912.0)	(58, 514649.0)	(60, 447781.0)	(62, 407296.0)	(64, 381062.0)	(66, 349196.0)	(68, 325031.0)	(70, 452072.0)	(72, 1559073.0)	(74, 3672066.0)
299mDMSOw5_S00_L004_R1_001	(20, 2109.0)	(22, 3698.0)	(24, 8135.0)	(26, 65958.0)	(28, 93674.0)	(30, 83680.0)	(32, 312818.0)	(34, 674039.0)	(36, 976412.0)	(38, 1082032.0)	(40, 974360.0)	(42, 986010.0)	(44, 1007494.0)	(46, 912769.0)	(48, 872130.0)	(50, 730293.0)	(52, 653735.0)	(54, 629002.0)	(56, 535212.0)	(58, 505033.0)	(60, 440770.0)	(62, 399896.0)	(64, 377636.0)	(66, 344062.0)	(68, 322118.0)	(70, 450446.0)	(72, 1563345.0)	(74, 3694387.0)
