Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
213mDMSOw1_S00_L002_R1_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 57.0)	(19.0, 354.0)	(20.0, 1667.0)	(21.0, 5024.0)	(22.0, 11149.0)	(23.0, 19954.0)	(24.0, 34313.0)	(25.0, 58457.0)	(26.0, 97033.0)	(27.0, 153449.0)	(28.0, 230022.0)	(29.0, 327768.0)	(30.0, 451369.0)	(31.0, 610956.0)	(32.0, 854618.0)	(33.0, 1341143.0)	(34.0, 2955550.0)	(35.0, 8734912.0)		
213mDMSOw1_S00_L003_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 6.0)	(18.0, 49.0)	(19.0, 296.0)	(20.0, 1350.0)	(21.0, 4404.0)	(22.0, 10733.0)	(23.0, 20712.0)	(24.0, 37795.0)	(25.0, 66409.0)	(26.0, 109928.0)	(27.0, 172273.0)	(28.0, 254815.0)	(29.0, 357577.0)	(30.0, 484180.0)	(31.0, 647219.0)	(32.0, 897438.0)	(33.0, 1398368.0)	(34.0, 3077798.0)	(35.0, 8367066.0)			
213mDMSOw1_S00_L004_R1_001	(17.0, 5.0)	(18.0, 36.0)	(19.0, 247.0)	(20.0, 1329.0)	(21.0, 4166.0)	(22.0, 9821.0)	(23.0, 19532.0)	(24.0, 36954.0)	(25.0, 64918.0)	(26.0, 110217.0)	(27.0, 174188.0)	(28.0, 256952.0)	(29.0, 362966.0)	(30.0, 490989.0)	(31.0, 656388.0)	(32.0, 902665.0)	(33.0, 1400953.0)	(34.0, 3057289.0)	(35.0, 8059343.0)					
214mDMSOw1_S00_L001_R1_001	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 10.0)	(18.0, 51.0)	(19.0, 300.0)	(20.0, 1538.0)	(21.0, 4669.0)	(22.0, 10133.0)	(23.0, 19313.0)	(24.0, 34793.0)	(25.0, 60409.0)	(26.0, 100180.0)	(27.0, 154635.0)	(28.0, 227055.0)	(29.0, 316310.0)	(30.0, 427965.0)	(31.0, 572347.0)	(32.0, 791263.0)	(33.0, 1235390.0)	(34.0, 2722999.0)	(35.0, 9166150.0)
214mDMSOw1_S00_L002_R1_001	(16.0, 4.0)	(17.0, 7.0)	(18.0, 62.0)	(19.0, 373.0)	(20.0, 1625.0)	(21.0, 4964.0)	(22.0, 10641.0)	(23.0, 19382.0)	(24.0, 33519.0)	(25.0, 57697.0)	(26.0, 96227.0)	(27.0, 151316.0)	(28.0, 223730.0)	(29.0, 314352.0)	(30.0, 426052.0)	(31.0, 572785.0)	(32.0, 794310.0)	(33.0, 1238069.0)	(34.0, 2703249.0)	(35.0, 9237059.0)				
214mDMSOw1_S00_L003_R1_001	(16.0, 2.0)	(17.0, 10.0)	(18.0, 49.0)	(19.0, 302.0)	(20.0, 1443.0)	(21.0, 4457.0)	(22.0, 10481.0)	(23.0, 21117.0)	(24.0, 39305.0)	(25.0, 68985.0)	(26.0, 112709.0)	(27.0, 172892.0)	(28.0, 251904.0)	(29.0, 346765.0)	(30.0, 462815.0)	(31.0, 613030.0)	(32.0, 841986.0)	(33.0, 1304294.0)	(34.0, 2850741.0)	(35.0, 8764054.0)				
214mDMSOw1_S00_L004_R1_001	(16.0, 2.0)	(17.0, 4.0)	(18.0, 42.0)	(19.0, 223.0)	(20.0, 1345.0)	(21.0, 4177.0)	(22.0, 9819.0)	(23.0, 19720.0)	(24.0, 36358.0)	(25.0, 65846.0)	(26.0, 110348.0)	(27.0, 172483.0)	(28.0, 253208.0)	(29.0, 350567.0)	(30.0, 468406.0)	(31.0, 618740.0)	(32.0, 845968.0)	(33.0, 1300636.0)	(34.0, 2819024.0)	(35.0, 8734898.0)				
215mDMSOw1_S00_L001_R1_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 12.0)	(18.0, 45.0)	(19.0, 313.0)	(20.0, 1323.0)	(21.0, 4404.0)	(22.0, 10186.0)	(23.0, 19365.0)	(24.0, 34962.0)	(25.0, 61104.0)	(26.0, 101434.0)	(27.0, 158190.0)	(28.0, 234080.0)	(29.0, 329032.0)	(30.0, 447213.0)	(31.0, 602440.0)	(32.0, 839354.0)	(33.0, 1316482.0)	(34.0, 2997895.0)	(35.0, 11057883.0)			
215mDMSOw1_S00_L002_R1_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 12.0)	(18.0, 63.0)	(19.0, 374.0)	(20.0, 1647.0)	(21.0, 4865.0)	(22.0, 10954.0)	(23.0, 19924.0)	(24.0, 34887.0)	(25.0, 60356.0)	(26.0, 99734.0)	(27.0, 157033.0)	(28.0, 231768.0)	(29.0, 326645.0)	(30.0, 445810.0)	(31.0, 599327.0)	(32.0, 838148.0)	(33.0, 1313978.0)	(34.0, 2976834.0)	(35.0, 11088800.0)	
215mDMSOw1_S00_L003_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 50.0)	(19.0, 279.0)	(20.0, 1423.0)	(21.0, 4517.0)	(22.0, 10704.0)	(23.0, 21100.0)	(24.0, 39529.0)	(25.0, 69326.0)	(26.0, 114476.0)	(27.0, 178084.0)	(28.0, 260545.0)	(29.0, 363249.0)	(30.0, 490444.0)	(31.0, 651284.0)	(32.0, 897958.0)	(33.0, 1402900.0)	(34.0, 3178312.0)	(35.0, 10650701.0)			
