Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
206fTBTw1_S00_L003_R1_001	(1.0, 55.340882565320136)	(2.0, 11.665886361921968)	(3.0, 3.415296377924516)	(4.0, 1.9492813865649508)	(5.0, 1.4292368368788742)	(6.0, 1.2184193119098206)	(7.0, 0.9705038378541447)	(8.0, 0.8838273409483954)	(9.0, 0.7584482649356806)	('>10', 11.369579548652316)	('>50', 4.704592156545378)	('>100', 6.174542854241363)	('>500', 0.11950315630247456)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
206fTBTw1_S00_L004_R1_001	(1.0, 54.62499502508005)	(2.0, 11.526655906554502)	(3.0, 3.414198914930153)	(4.0, 1.8835246671306323)	(5.0, 1.4524849611420723)	(6.0, 1.1017159181566394)	(7.0, 1.0238088846015208)	(8.0, 0.8343407045151102)	(9.0, 0.7947670667115633)	('>10', 11.685094920461676)	('>50', 4.751189548160461)	('>100', 6.761457224948729)	('>500', 0.14576625760688852)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
213mDMSOw1_S00_L001_R1_001	(1.0, 33.91825140565438)	(2.0, 19.39636382290199)	(3.0, 9.210353564906603)	(4.0, 3.706221520076107)	(5.0, 1.767963535434281)	(6.0, 1.131269650241013)	(7.0, 0.8472700571309921)	(8.0, 0.7529845749373727)	(9.0, 0.6682500274135101)	('>10', 10.399150748195341)	('>50', 4.463227498766243)	('>100', 10.955558951878738)	('>500', 2.368696862935624)	('>1k', 0.41443777952781996)	('>5k', 0.0)	('>10k+', 0.0)
213mDMSOw1_S00_L002_R1_001	(1.0, 34.02358114268834)	(2.0, 19.401181488996148)	(3.0, 9.045656059770218)	(4.0, 3.7230500881707957)	(5.0, 1.7826222699193044)	(6.0, 1.1209972693718853)	(7.0, 0.8910316415406223)	(8.0, 0.8115672327336185)	(9.0, 0.7231627873353148)	('>10', 10.644527900767528)	('>50', 4.49141407868103)	('>100', 10.463385392461088)	('>500', 2.44397925555096)	('>1k', 0.4338433920132454)	('>5k', 0.0)	('>10k+', 0.0)
213mDMSOw1_S00_L003_R1_001	(1.0, 35.45025907532949)	(2.0, 19.086829158145047)	(3.0, 8.892815988619727)	(4.0, 3.576627275577013)	(5.0, 1.6823762528772899)	(6.0, 1.1297835965040062)	(7.0, 0.9236746938901021)	(8.0, 0.7813977562370193)	(9.0, 0.6792951216779445)	('>10', 10.651286708660695)	('>50', 4.479999006122977)	('>100', 10.111503769659729)	('>500', 2.227943521387904)	('>1k', 0.3262080753110095)	('>5k', 0.0)	('>10k+', 0.0)
213mDMSOw1_S00_L004_R1_001	(1.0, 35.75848397561767)	(2.0, 18.993642934824393)	(3.0, 8.621060027033609)	(4.0, 3.558286070245207)	(5.0, 1.684797011267832)	(6.0, 1.117946938638797)	(7.0, 0.8608612198672165)	(8.0, 0.7282760941517685)	(9.0, 0.6898261907699474)	('>10', 10.416644857383824)	('>50', 4.411052167046581)	('>100', 10.409711196016728)	('>500', 2.3981269183958887)	('>1k', 0.3512843987404695)	('>5k', 0.0)	('>10k+', 0.0)
214mDMSOw1_S00_L001_R1_001	(1.0, 11.267371491143379)	(2.0, 3.0251910008507314)	(3.0, 4.481583527309241)	(4.0, 6.38859027922504)	(5.0, 8.116587024056821)	(6.0, 8.927038928034694)	(7.0, 8.339316747580032)	(8.0, 7.27209558820408)	(9.0, 5.670277374059357)	('>10', 19.472462450354662)	('>50', 4.367797799481554)	('>100', 10.176741675539903)	('>500', 2.16854681112092)	('>1k', 0.3263993030396914)	('>5k', 0.0)	('>10k+', 0.0)
214mDMSOw1_S00_L002_R1_001	(1.0, 10.351509522673298)	(2.0, 3.290139645093335)	(3.0, 5.143328766766497)	(4.0, 7.233785293189833)	(5.0, 8.48374819114232)	(6.0, 8.866895730451677)	(7.0, 8.213750809122867)	(8.0, 6.987085814016567)	(9.0, 5.354536538690014)	('>10', 19.66805180955477)	('>50', 4.063967115603424)	('>100', 9.648695060537579)	('>500', 2.341215039101226)	('>1k', 0.35329066405673815)	('>5k', 0.0)	('>10k+', 0.0)
214mDMSOw1_S00_L003_R1_001	(1.0, 12.523883412991147)	(2.0, 3.392352936210008)	(3.0, 4.997994006953896)	(4.0, 6.983433523361759)	(5.0, 8.31635268243581)	(6.0, 8.714657534644301)	(7.0, 7.975798239895707)	(8.0, 6.7881188200219365)	(9.0, 5.223503881965713)	('>10', 19.237507616381546)	('>50', 4.176774139976125)	('>100', 9.307568008649943)	('>500', 2.1067478942696845)	('>1k', 0.25530730224242454)	('>5k', 0.0)	('>10k+', 0.0)
214mDMSOw1_S00_L004_R1_001	(1.0, 12.599954702145109)	(2.0, 3.1461947999899564)	(3.0, 4.62916266187109)	(4.0, 6.44186566534387)	(5.0, 8.097908793844127)	(6.0, 8.411262153722591)	(7.0, 8.193773640168537)	(8.0, 6.95963170555024)	(9.0, 5.503135273942623)	('>10', 19.601150037544908)	('>50', 4.082437112166545)	('>100', 9.7456476518878)	('>500', 2.25993645144679)	('>1k', 0.32793935037584726)	('>5k', 0.0)	('>10k+', 0.0)
