ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030336	GO:0030336	negative regulation of cell migration	33/1023	328/25730	0.100609756097561	2.53048780487805	5.67638837768897	1.1140470023264e-06	0.000263472116050193	0.000212521789391165	Rgcc/Trib1/Kank1/Sema6d/Srgap3/Magi2/Ptprm/Nav3/Cdh11/Pten/Wnt4/Serpinb1a/Adipor2/Dpep1/Macir/Arhgap4/Mif/Sin3a/Thbs1/Stard13/Stat3/Ptpn1/Dach1/Cxcl12/Ccl25/Coro1c/Dusp10/Tafa5/Dlg5/Tmeff2/Epha4/Tet1/Nf1	33
GO:0099003	GO:0099003	vesicle-mediated transport in synapse	33/1023	329/25730	0.100303951367781	2.52279635258359	5.65657607586617	1.19210545086716e-06	0.000269674985254863	0.000217525145657088	Grip2/Rimbp2/Cyfip1/Doc2b/Ston2/Atp6v1g1/Atp6v1b2/Magi2/Grip1/Nedd4l/Nsg1/Snx9/Camk2a/Nrxn1/Sv2c/Pten/Atp6v1e1/Stxbp1/Syt1/Dnm2/Myo5b/Unc13c/Rab11b/Snap25/Cplx2/Pip5k1c/Atp6ap1/Otof/Syn2/Prkn/Rab8a/Iqsec1/Atp6v1h	33
GO:0048675	GO:0048675	axon extension	19/1023	133/25730	0.142857142857143	3.59307359307359	6.10078038329011	1.37206276150655e-06	0.000289378614289442	0.000233418480263816	Cyfip1/Macf1/Sema6d/Smurf1/Fxn/Pou4f3/Cit/Cdh4/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Sin3a/Abl1/Sema5a/Ndn/Cxcl12/Dclk1	19
GO:0040013	GO:0040013	negative regulation of locomotion	35/1023	363/25730	0.0964187327823691	2.42507721846565	5.56411910926736	1.43121081931903e-06	0.000289378614289442	0.000233418480263816	Rgcc/Trib1/Kank1/Sema6d/Srgap3/Magi2/Ptprm/Nav3/Cdh11/Pten/Wnt4/Serpinb1a/Adipor2/Dpep1/Macir/Arhgap4/Mif/Sin3a/Ghsr/Thbs1/Stard13/Stat3/Sema5a/Ptpn1/Dach1/Cxcl12/Ccl25/Coro1c/Dusp10/Tafa5/Dlg5/Tmeff2/Epha4/Tet1/Nf1	35
GO:0072001	GO:0072001	renal system development	37/1023	395/25730	0.0936708860759494	2.35596471039509	5.52618911633394	1.44605880675101e-06	0.000289378614289442	0.000233418480263816	Zfp950/Cyp26b1/Trp73/Prdm1/Magi2/Wnt7b/Bmp7/Irx3/Osr2/Wnt4/Odc1/Fras1/Gsta3/Yap1/Nup133/Fgf1/Six2/Podxl/Hey1/Cd2ap/Bax/Cat/Nid1/Prox1/Kirrel3/Sec61a1/Pds5a/Frem2/Dlg5/Ext1/Lgr4/Rara/Epha4/Itga8/Ctnnbip1/Notch3/Nf1	37
GO:0099175	GO:0099175	regulation of postsynapse organization	24/1023	200/25730	0.12	3.01818181818182	5.83027637713597	1.52844382593839e-06	0.000294536786161386	0.000237579163119546	Prickle2/Cux2/Dock4/Srgap3/Sipa1l1/Tiam1/Flrt2/Nrxn1/Pten/Fcgr2b/Ins1/Grin2b/Asap1/Grid1/Kalrn/Cpeb3/Grid2/Ghsr/Ptpn1/Shank2/Epha4/Bhlhb9/Nf1/Dclk1	24
GO:0099068	GO:0099068	postsynapse assembly	17/1023	110/25730	0.154545454545455	3.8870523415978	6.17448443559101	1.61255430890713e-06	0.000299647145330135	0.000241701279308749	Prickle2/Dock4/Srgap3/Magi2/Ntng2/Sipa1l1/Flrt2/Nrxn1/Nrxn3/Pten/Ntrk3/Cpeb3/Abl1/Grid2/Ptpn1/Gap43/Dclk1	17
GO:0043491	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	35/1023	367/25730	0.0953678474114441	2.39864585913632	5.491357875413	1.83886527999882e-06	0.000329917794890822	0.000266118180448468	Rgcc/Mtm1/Spry2/Smpd3/Magi2/Myo16/Nrxn1/Vav2/Gcnt2/Phlpp1/Pten/Ins1/Gab2/Tcf7l2/Tbk1/Ntrk3/Lmbrd1/Insr/Prkd1/Hgf/Serpine2/Thbs1/Fpr2/Cd2ap/Stat3/Sema5a/Cat/Ptpn1/Vav3/Cxcl12/Atp1a3/Fbxl2/Kdr/P2rx4/Nf1	35
GO:0006936	GO:0006936	muscle contraction	33/1023	338/25730	0.0976331360946746	2.45562130177515	5.48147655164385	2.16048089534749e-06	0.0003746994032831	0.000302239906307033	Grip2/Smpd3/Calca/Itga2/Sgcd/Dock4/Tbx20/Kcnip2/Apbb2/Kcnip1/Nedd4l/Cacna1c/Kcnma1/Gja5/Atp2b1/Kcnq1/Vps54/Slc8a1/Arhgap42/Kcnn2/Prkd1/Ryr1/Myom2/Mir448/Ghsr/Atp8a2/Stac/Atp1a3/Hdac4/P2rx4/Ryr2/Cert1/Bbs2	33
GO:0007411	GO:0007411	axon guidance	28/1023	264/25730	0.106060606060606	2.66758494031221	5.54177415880983	2.56970820296562e-06	0.00043129650903323	0.000347892244659556	Cyfip1/Sema6d/Apbb2/Lmx1a/B3gnt2/Ptprm/Pou4f3/Wnt7b/Flrt2/Bmp7/Cdh4/Diaph2/Lhx4/Kalrn/Sema4b/Or8a1b/Sema5a/Cxcl12/Dpysl5/Mapk8ip3/Ext1/Lgr4/Epha4/Vasp/Gap43/Ablim1/Otx2/Notch3	28
