ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0071774	GO:0071774	response to fibroblast growth factor	17/976	118/25730	0.144067796610169	3.79801681022506	6.04899527757769	2.31348394585917e-06	0.000522947958022689	0.000413356582363122	Spry2/Ndst1/Dstyk/Flrt2/Tcf7l2/Hhip/Wnt4/Prdm14/Fgf1/Thbs1/Fgf18/Zfp36l2/Ptpn1/Sos1/Tbx2/Postn/Ext1	17
GO:0090287	GO:0090287	regulation of cellular response to growth factor stimulus	32/976	341/25730	0.093841642228739	2.47391952309985	5.44053780106583	2.67087179310343e-06	0.000567129200081734	0.000448279000439172	Cyfip1/Spry2/Veph1/Msx1/Tbx20/Smurf1/Dstyk/Fstl5/Tcf7l2/Hhip/Zfyve9/Wnt4/Fstl1/Sin3a/Prdm14/Ryr1/Skor2/Fgf1/Crim1/Abl1/Thbs1/Vwc2l/Fgf18/Wfikkn2/Hsp90ab1/Ptpn1/Dnm2/Prox1/Rgma/Itga8/Kdr/Myof	32
GO:0048588	GO:0048588	developmental cell growth	29/976	293/25730	0.0989761092150171	2.60927796117048	5.50105007064531	2.72710713638072e-06	0.000567129200081734	0.000448279000439172	Map2k4/Cyfip1/Macf1/Sema6d/Smurf1/Pou4f3/Nedd4l/Tiam1/Cit/Pten/Syt1/Cdh4/Ntrk3/Myo5b/Arhgap4/Sin3a/Fxn/Rarg/Abl1/Cd2ap/Sema5a/Rnf157/Ndn/Dnm2/Rgma/Prkn/Postn/Ext1/Mex3c	29
GO:0090596	GO:0090596	sensory organ morphogenesis	32/976	345/25730	0.0927536231884058	2.44523639819435	5.3662823970413	3.41802492365623e-06	0.000668645794806308	0.00052852131137037	Cyp26b1/Spry2/Msx1/Tecta/Prdm1/Pou4f3/Cthrc1/Ptprm/Tenm3/Bmp7/Osr2/Kcnq1/Casz1/Adamts9/Sparc/Tulp1/Rarg/Stat3/Bax/Atp8a2/Fat1/Megf11/Sp3/Prox1/Agtpbp1/Hpn/Tbx2/Slitrk6/Itga8/Kdr/Otx2/Nf1	32
GO:0099003	GO:0099003	vesicle-mediated transport in synapse	31/976	329/25730	0.0942249240121581	2.48402386765658	5.3793164893734	3.5015374743091e-06	0.000668645794806308	0.00052852131137037	Grip2/Rimbp2/Cyfip1/Doc2b/Ston2/Atp6v1g1/Grip1/Atp6v1b2/Magi2/Nedd4l/Snx9/Nsg1/Camk2a/Sv2c/Pten/Atp6v1e1/Syt1/Stxbp1/Myo5b/Unc13c/Snap25/Rab11b/Cplx2/Atp6ap1/Otof/Syn2/Pip5k1c/Dnm2/Prkn/Rab8a/Iqsec1	31
GO:0008543	GO:0008543	fibroblast growth factor receptor signaling pathway	14/976	85/25730	0.164705882352941	4.34209257473481	6.1283033645399	3.60109295144771e-06	0.000668645794806308	0.00052852131137037	Spry2/Ndst1/Dstyk/Flrt2/Tcf7l2/Hhip/Wnt4/Prdm14/Fgf1/Thbs1/Fgf18/Sos1/Tbx2/Ext1	14
GO:1990138	GO:1990138	neuron projection extension	23/976	207/25730	0.111111111111111	2.92918943533698	5.53360119515296	4.28507160855703e-06	0.000768209906651311	0.000607220310700786	Cyfip1/Macf1/Sema6d/Smurf1/Pou4f3/Nedd4l/Tiam1/Cit/Pten/Syt1/Cdh4/Ntrk3/Myo5b/Arhgap4/Sin3a/Fxn/Abl1/Sema5a/Rnf157/Ndn/Dnm2/Prkn/Postn	23
GO:0099084	GO:0099084	postsynaptic specialization organization	13/976	75/25730	0.173333333333333	4.56953551912568	6.14709604850159	4.44638459687943e-06	0.000770558450639205	0.000609076683025168	Prickle2/Ntng2/Sipa1l1/Hspa8/Nrxn3/Cit/Pten/Dlg2/Ntrk3/Grid2/Abl1/Syngap1/Gap43	13
GO:0010631	GO:0010631	epithelial cell migration	16/976	112/25730	0.142857142857143	3.76610070257611	5.82529678678004	5.09727424629489e-06	0.000854862219564101	0.000675713366979126	Kitl/Kank1/Macf1/Itga2/Pten/Gab2/Prkce/Macir/Rreb1/Prox1/Dusp10/Daam2/Sdc2/Iqsec1/Coro1c/Tgfb2	16
GO:0001667	GO:0001667	ameboidal-type cell migration	28/976	287/25730	0.0975609756097561	2.57197121151539	5.31759241988072	5.310360700675e-06	0.000857652811843795	0.000677919149925224	Tns1/Kitl/Kank1/Macf1/Itga2/Sema6d/Amot/Bmp7/Pten/Gab2/Prkce/Adipor2/Slc8a1/Arhgap4/Macir/Sema4b/Thbs1/Sema5a/Rreb1/Rffl/Prox1/Dusp10/Daam2/Sdc2/Iqsec1/Coro1c/Tgfb2/Ythdf3	28
